School,City,State,Latitude,Longitude,MD-PhD Program,MD-PhD_link,#1 Specialty (2025 Match),#2 Specialty (2025 Match),#3 Specialty (2025 Match),image_url,Description,Website,LCME Accreditation Status,Initial Year of LCME Accreditation,hierarchical_cluster,cluster_summary
Albany Medical College,Albany,New York,42.6534,-73.7778,Yes,https://www.amc.edu/education/md-program/about-md/joint-degree-programs-md/,Internal Medicine,Anesthesiology,Pediatrics,https://thecustodianus.com/wp-content/uploads/2023/04/Albany-Medical-College-1.jpg,"We take pride in offering an intimate, collegial environment that fosters humane values and genuine, hands-on learning. We maintain a policy of limiting enrollment to a small group of carefully selected students.",https://www.amc.edu/,Full,On or prior to 1942*,16,"mayo, nsu, small, dr, clinic"
Albert Einstein College of Medicine,Bronx,New York,40.8505,-73.8459,Yes,https://einsteinmed.edu/education/mstp/,Internal Medicine,Medicine,Anesthesiology,https://montefioreeinsteinnow.org/sites/default/files/2023-01/GettyImages-604009974%201%20%2818%29.jpg,"For more than 70 years, our faculty and staff have set the standard for excellence in medical and graduate education, cutting-edge research, and patient-centered clinical care. Our research enterprise, long a fundamental strength, drives innovation from the lab to the clinic to the community. We are honored to be based in the Bronx, one of the most dynamic and resilient corners of the country, and to continuously advance our historic commitment to our community.

Our Vision: Transforming health in the Bronx and beyond through scientific breakthroughs, educational innovation, and community partnerships.

Our Mission: Committed to exceptional healthcare quality for all and actively engaged with our community, Einstein drives scientific discovery and educates compassionate leaders in health and science.",https://einsteinmed.edu/,"Full, on probation",1955,9,"cutting, edge, uconn, innovation, health"
Alice L. Walton School of Medicine,Bentonville,Arkansas,36.3808116,-94.1974096,No,,Not available,Not available,Not available,https://www.alwmedschool.org/app/uploads/2024/10/cropped-993A-AWSOM-Exterior-01-Aerial-SW-1.jpg,"Alice L. Walton School of Medicine (AWSOM) is a nonprofit, four-year MD program that will enhance allopathic medical education with the arts, humanities, and whole health principles. The School’s culture embraces self-care to empower students to care for their own well-being as well as that of their patients.

The School has been granted preliminary accreditation status by the Liaison Committee on Medical Education and will begin classes in Summer 2025.",https://www.alwmedschool.org/,Preliminary,2024,15,"lcme, self, md, accreditation, committee"
Anne Burnett Marion School of Medicine at TCU,Fort Worth,Texas,32.7109,-97.3657,Yes,https://mdschool.tcu.edu/graduate-mdphdbioengr/,Internal Medicine,Emergency Medicine,Obstetrics-Gynecology,https://www.linbeck.com/wp-content/uploads/2024/04/TCU-SOM_featured_01.webp,"Our Mission is to transform health care by inspiring Empathetic Scholars®.

Our Vision
To be a leader in medical education, delivery of care and scholarship. We do this by focusing intentionally on the constellation of:

Character – integrity, empathy, humanism, professionalism
Content – medical knowledge, technology, innovation, integration
Context – patient-centered models, cultural sensitivity, health care systems, finance, ambulatory settings, patient safety, chronic disease prevention and management
Creativity – innovation, inquisitive scholars
Collaboration – team-based care, patient and family partnerships, shared decision-making
Community – servant leadership, public education, partnership, leadership
Communication – exceptional communicators, active listeners
Motto, Core Values and Pillars
Our motto is Learn, Apply, Serve.

Our core values are: Integrity, Empathy, Collaboration, Servant Leadership, Innovation and Continuous Improvement

Our pillars are: Education, Patient and Family-Centered Care, Research and Community",https://mdschool.tcu.edu/,Full,2018,5,"health, care, college, arizona, education"
Baylor College of Medicine,Houston,Texas,29.7105,-95.3962,Yes,https://www.bcm.edu/education/education-programs/m-d-ph-d-program,Internal Medicine,Anesthesiology,Pediatrics,https://cdn.bcm.edu/sites/default/files/styles/full_width_component_image_standard/public/2023-01/psi-group-photo-2023.png?h=d452c341&itok=bCZR9nsX,"Baylor College of Medicine is a health sciences university that creates knowledge and applies science and discoveries to further education, healthcare and community service locally and globally.

Our Vision
Improving health through science, scholarship and innovation

Our Values
Respect
Value others and treat them with professionalism, courtesy and politeness
Encourage civil dialogue that considers diverse opinions and ideas
Integrity
Interact with honesty, consistency and transparency
Operate in ways that demonstrate ethical behaviors
Foster personal accountability to build trust
Innovation
Cultivate creative ideas and unique talents across the organization
Embrace a culture of continuous improvement
Inspire the creation and application of new knowledge
Teamwork
Sustain a culture that values collaboration
Communicate openly to enhance understanding
Establish effective partnerships
Excellence
Promote the highest standards of safety, quality and service
Strive for excellence in every aspect of our mission
Support an environment that inspires the best from our people",https://www.bcm.edu/,Full,On or prior to 1942*,11,"social, integrity, respect, values, knowledge"
Boston University Aram V. Chobanian & Edward Avedisian School of Medicine,Boston,Massachusetts,42.33685,-71.07114,Yes,https://www.bumc.bu.edu/mdphd/,Internal Medicine,Pediatrics,Emergency Medicine,https://images.squarespace-cdn.com/content/v1/559171dae4b06b6a20dc2086/1627485982697-QMHWP3LBFCHKB3AYA9WH/BUSM.jpg?format=1000w,"Boston University Chobanian & Avedisian School of Medicine is dedicated to the educational, intellectual, professional and personal development of a diverse group of exceptional students, trainees, and faculty who are deeply committed to the study and practice of medicine, to biomedical research, and to public health. As a community, we place great value on excellence, integrity, service, social justice, collegiality, equality of opportunity, and interdisciplinary collaboration. Join us as we practice Frontline Medicine and Research.",https://www.bumc.bu.edu/camed/,Full,On or prior to 1942*,11,"social, integrity, respect, values, knowledge"
Brody School of Medicine at East Carolina University,Greenville,North Carolina,35.6097321,-77.4028507,No,,Internal Medicine,Family Medicine,Psychiatry,https://medicine.ecu.edu/wp-content/pv-uploads/sites/232/banner.jpg,"Brody School of Medicine at East Carolina University is a 40-year-old medical school with a strong primary care orientation. The school was established in 1974 by the North Carolina legislature. BSOM’s mission is:

To increase the supply of primary care physicians to serve the state
To improve the health and well-being of the region
To train physicians who will meet the health care needs of the state",https://medicine.ecu.edu/,Full,1977,30,"school, nevada, und, physicians, primary"
California Northstate University College of Medicine,Elk Grove,California,38.4056907,-121.4812484,No,,Internal Medicine,Family Medicine,Anesthesiology,https://images.squarespace-cdn.com/content/v1/5e7be446a4a1a06a00b2ef49/1643996411766-T3IL5NHFQHBZFF1XOK0U/img0099_1200xx4032-2268-0-378.jpeg,"California Northstate University College of Medicine (CNUCOM) gained preliminary accreditation in June 2015 and provisional accreditation in June 2019 by the Liaison Committee on Medical Education.

The College of Medicine offers a Doctor of Medicine (MD) program. The College of Medicine (COM) is committed to meet the nation’s need for physicians with an emphasis on training in primary care with social accountability.

CNUCOM is dedicated to educating students to become competent, patient-centered healthcare professionals. Education is provided using an innovative, integrated, clinical presentation based curriculum. The graduates of CNUCOM will have the knowledge and skills to perform as a physician and to work in a multi professional environment. The graduates will be well prepared to meet the health and medical challenges in the 21st century.

As a result of several recent publications and studies which indicated the need for an increase in the number of primary care physicians trained in California, senior operations staff at the College of Pharmacy began discussions for a new medical school in the greater Sacramento area early in the spring of 2010. With recent federal health care initiatives in combination with the needs of the aging baby-boomer population, primary care physicians are seeing everincreasing patient loads. It was also recognized that as a result of the financial crisis facing California, the State has been unable to increase the number of medical students trained within the State. CNUCOM will directly help the primary care physician shortage in California.

It is the goal of the University to create life-long learners that are trained to serve the community as leaders in health care science, education, and research. With this goal in mind, senior University officials have developed a strategic plan that addresses education, partnership, and scholarship.

Much of the preliminary design of the structure of the College of Medicine and its curriculum was in place by June/July 2011. As part of this process, community leaders in medicine within the Sacramento Valley were engaged in a series of meetings to plan the outlines and address the key issues to be covered within the medical school curriculum. This core group established broad outlines of the curriculum and structure of the College of Medicine and also served as members of the Institutional Self-Study Task Force. They were visionary and demanded that this new school stress areas of training frequently ignored or understated by many medical schools. Many members brought 20-30 years of experience in direct medical practice in the highly competitive Sacramento region to provide insight on how to best train future physicians. They noted that our nation is poised to institute new schemes for providing universal health care to its citizens and, at the same time, provide care that is high quality, cost-effective, and evidence-based.

Given disparities in access to healthcare services in the U.S. and the entry of more patients into the healthcare system with the recent introduction of the Affordable Care Act, there is a widely recognized need for more healthcare workers and biomedical professionals. Likewise, strong local demand for undergraduate education in health sciences by California high school graduates necessitates the creation of additional programs in this area. These factors have combined to support the creation of a third college at CNU that will educate students qualified for admission to postbaccalaureate schools seeking to pursue health sciences careers. Thus, the creation of the College of Health Sciences’ Bachelor of Science degree program aligns with CNU’s mission, purpose and strategic intent, “To advance the science and art of healthcare.”",https://medicine.cnsu.edu/,"Provisional, on probation",2015,34,"california, inland, riverside, medical, southern"
California University of Science and Medicine-School of Medicine,Colton,California,34.0771873,-117.3534271,No,,Internal Medicine,Emergency Medicine,Family Medicine,https://cusm.edu/_resources/images/_events/white-coat-ceremony/White%20Coat%20class%20of%202027_group%20photo_fun.jpg,"The Purpose of the University
The purpose of the California University of Science and Medicine is to develop and operate a health and life sciences university, including colleges, a research institute, and a graduate school of medicine, to educate future physicians and medical support personnel and conduct medical research and/or work with research organizations to further the science and art of medicine. Additionally, the university may engage in any activities reasonably related to or in furtherance of its stated purposes.

Vision Statement
To establish a school of medicine that inspires, motivates, and empowers students to become excellent and caring physicians, scientists, and leaders, advance the art and science of medicine through research, improve the health of its community, share innovative curriculum, and promote best practices in medical education globally, and facilitates a medical education to promising disadvantaged students, especially from California and the Inland Empire.

Mission Statement
To advance the art and science of medicine through innovative medical education, research, and compassionate healthcare delivery in an inclusive environment that advocates critical thinking, creativity, integrity, and professionalism.

Diversity Statement
CUSM strives to cultivate a culture in which everyone is valued in an environment of inclusive excellence, equity practice, and equitable support. Diversity is integral to the California University of Science and Medicine's institutional identity, as evidenced in the founding principles. This early intent to create a historic medical school in southern California has arisen from tenets adopted by the inaugural leadership. It begins with a deep commitment to the diversity of the student body, faculty, administration, and staff. Recognizing and nurturing latent merit, talent, values, and richness inherent in our diverse California culture and society, CUSM leadership acknowledged the need to remove barriers to recruiting, retaining, and advancing historically excluded, underrepresented, and marginalized populations. This is being achieved through the CUSM mission to serve diverse, disadvantaged, and multicultural populations and to meet the health needs of the people of the Inland Empire, the State of California, and the Nation. The innovative clinical presentation curriculum emphasizes public health, population health, global health, and affordable, accessible care for all. Educational excellence incorporating diversity can promote mutual respect, equity, practice skills, and manifest the full talents and abilities to serve patients better and foster innovation and leadership. Training culturally humble and structurally competent healthcare providers requires a multicultural milieu in which diversity, equity, and inclusion are deeply valued, encouraged, and integrated into all facets of the institution. This philosophy is at the core of CUSM, and it enriches the experiences gained by students while building values of altruism, activism, leadership, and social accountability in the globalized, pluralistic, complex, connected world of the 21st century.",https://www.cusm.edu/,Provisional,2018,34,"california, inland, riverside, medical, southern"
Carle Illinois College of Medicine,Urbana,Illinois,40.108529,-88.2278712,Yes,https://medicine.illinois.edu/admissions/medical-scholars-program,General Surgery,Anesthesiology,Internal Medicine,https://medicine.illinois.edu/_sitemanager/viewphoto.aspx?id=103554&s=1200,"The Carle Illinois College of Medicine at the University of Illinois at Urbana-Champaign is the world’s first engineering-based medical school. Our curriculum is built at the intersection of engineering and medicine, with most courses designed by a team composed of a basic scientist, clinician, and engineer. The curriculum infuses basic sciences, clinical sciences, engineering and innovation, and medical humanities into all four years. We place high value on patient-centered care, systems-based delivery, innovation and research, and early clinical exposure.

We envision a future where, by leveraging engineering and advanced technology, doctors provide more humanistic care for patients. A future where excellent health care is available to everyone who needs it — no matter who they are or where they live.",https://medicine.illinois.edu/,Full,2017,23,"available, engineering, school, law, schools"
Case Western Reserve University School of Medicine,Cleveland,Ohio,41.5053586,-81.6171131,Yes,https://case.edu/medicine/mstp/,Internal Medicine,Obstetrics-Gynecology,General Surgery,https://case.edu/medicine/md/sites/default/files/styles/hero_one_column/public/2022-03/Med-students-on-BRB-stairs.png?h=593367fd&itok=b8Tdej2X,"Since 1843, Case Western Reserve University School of Medicine has been at the forefront of medical education, dedicated to enhancing human health, and a leader and innovator in healthcare education and biomedical research. 

Strategic Vision
Case Western Reserve University School of Medicine is the intellectual glue for health education and research faculty across Cleveland’s academic medical centers—Cleveland Clinic, Louis Stokes Cleveland VA Medical Center, MetroHealth System and University Hospitals—coordinating a network of transdisciplinary effort that touches myriad diseases and cultural backgrounds.

Our Mission
To improve global health by linking research to populations in a superb educational environment.",https://case.edu/medicine/,Full,On or prior to 1942*,37,"school, medical, university, duke, health"
Central Michigan University College of Medicine,Saginaw,Michigan,43.4299338,-83.9563119,No,,Not available,Not available,Not available,https://www.cmich.edu/images/default-source/colleges/cmed/education/md/md_scroller/20210916_cmu_health_saginaw_700x467ed0ec8a9-95fe-40a7-ba23-52de2cedf3dd.jpg?sfvrsn=3b554c37_7,"The Central Michigan University College of Medicine educates diverse students and trains culturally competent physicians to provide comprehensive health care and services to underserved populations in Michigan and beyond. Our faculty, staff and graduates advance health and wellness through exceptional education, innovative research, quality patient care and strategic collaborations to improve the health and well-being of individuals and communities.",https://www.cmich.edu/academics/colleges/college-of-medicine,Full,2012,1,"health, services, care, research, education"
Charles E. Schmidt College of Medicine at Florida Atlantic University,Boca Raton,Florida,26.3732722,-80.1030188,Yes,https://www.fau.edu/medicine/dual-degree/md-phd/,Not available,Not available,Not available,https://www.fau.edu/medicine/images/schmidt-college-of-medicine-building.jpg,"The Schmidt College of Medicine is one of the newest and rapidly rising medical schools in the United States, nationally recognized by U.S. News and World Report for its mission to care for diverse patient populations. The college maintains partnerships with more than 300 community agencies from Miami-Dade to Vero Beach, Florida to serve the community. With an emphasis on teamwork and collaboration, the college is dedicated to addressing the needs of its community.",https://www.fau.edu/medicine/,Full,2011,18,"schools, medical, report, news, northwell"
Charles R. Drew University of Medicine and Science College of Medicine,Los Angeles,California,33.9256377,-118.2451009,No,,Not available,Not available,Not available,https://www.cdrewu.edu/wp-content/uploads/2023/08/doctor-of-medicine-header.jpg,"A Private University with a Public Mission
Charles R. Drew University is a private, nonprofit, community-founded, student-centered institution of medicine and science committed to cultivating diverse health professions leaders who are dedicated to social justice and health equity for underserved populations.

Charles R. Drew University is a private, nonprofit, community-founded, student-centered institution of medicine and science committed to cultivating diverse health professions leaders who are dedicated to social justice and health equity for underserved populations.
CDU offers undergraduate and graduate degrees, and certificate programs, across a range of health and medical professions.

We are one of the most diverse universities in the nation in terms of both student and faculty diversity. CDU is proud to be one of only four Historically Black Medical Colleges, a Historically Black Graduate Institution (HBGI), the only federally-designated Historically Black learning institution west of Texas, and a member of the Hispanic Association of Colleges and Universities.

At CDU, we envision a world without health disparities. We are actively investing in tomorrow’s healthcare leaders for the good of underserved communities across the nation.",https://www.cdrewu.edu/,Preliminary,2022,28,"private, institution, professions, cdu, roseman"
Chicago Medical School at Rosalind Franklin University of Medicine & Science,North Chicago,Illinois,42.2999644,-87.8620006,Yes,https://www.rosalindfranklin.edu/academics/school-of-graduate-and-postdoctoral-studies/degree-programs/,Internal Medicine,Emergency Medicine,Family Medicine,https://www.prospectivedoctor.com/wp-content/uploads/2020/03/Chicago-Medical-School-%E2%80%94-Rosalind-Franklin-University-of-Medicine-_-Science-North-Chicago-IL.jpg,"Rosalind Franklin University (RFU) is named for a pioneer in scientific research. Today, we’re carrying her legacy forward by sustaining an innovative, collaborative environment for advanced healthcare education and research.

In 1952, British scientist and researcher Dr. Rosalind Franklin altered humankind’s understanding of biology. Her work in X-ray diffraction during the preceding years helped her capture “Photograph 51” of the “B” form of DNA while at King’s College in London. This discovery directly led to the development of the double-helix model of DNA that same year.

The faculty, staff and 1,900-plus students at RFU carry on Dr. Franklin’s legacy of discovery every single day. We do that through a combination of:

Rigorous academics, with interprofessionalism as a foundation
Advancements in health, wellness and medicine at our Innovation and Research Park
Groundbreaking approaches to community service
RFU provides a place where students, faculty, practitioners, researchers and entrepreneurs converge around a common goal: improve the quality and delivery of health and wellness for all. And we offer a wealth of student support services to ensure we cultivate an inclusive campus.

By embodying our namesake’s traits of inquiry, diligence and academic excellence, we’re continuing to shape the future of health care. Come to RFU and be a part of it.",https://www.rosalindfranklin.edu/academics/chicago-medical-school/,Full,On or prior to 1942*,3,"community, levels, health, rfu, development"
Columbia University Vagelos College of Physicians and Surgeons,New York,New York,40.8415468,-73.9439672,Yes,https://www.vagelos.columbia.edu/education/academic-programs/md-dual-degrees-and-special-programs/md-phd-dual-degree-program,Internal Medicine,Pediatrics,Neurology,https://magazine.columbia.edu/sites/default/files/styles/wysiwyg_full_width_image/public/2021-12/Bul_med-school.jpg?itok=LI1kb6sy,"Columbia University Vagelos College of Physicians and Surgeons (VP&S) is guided by the principle that medical education is university education.

The acquisition of knowledge and skills is important in professional education, but far more vital is a profound understanding of the science, the art, and the ethic within which both knowledge and skill are applied. As a part of Columbia University, the College builds its curriculum, selects its officers of instruction, and marshals its enormous resources of equipment and clinical experience to develop in the student this understanding of medicine.

VP&S is part of a unique collection of health sciences schools that make up the Columbia University Irving Medical Center, an integral part of the Washington Heights community in upper Manhattan—one of New York City's most diverse neighborhoods. Every day VP&S faculty, staff, and students work towards our mission—to care, to discover, to educate, and to make life better for people in need.

VP&S provides international leadership in educating physicians, physician-scientists, and research scientists; in caring for patients ranging from those who can select any physician in the world to our neighborhood's most vulnerable residents; and in conducting basic, translational, and population-based research to improve human health.

One of the nation's most research-intensive medical schools, VP&S is consistently ranked among the best medical schools in the nation. VP&S attracts students with idealistic values and the highest aspirations for excellence. Students have MCAT scores and grade point averages that are among the highest in the nation, and VP&S has one of the most diverse student bodies of any medical school in the U.S. Also, our graduate research programs have been judged among the most productive as measured by their scholarly contributions.

VP&S became part of the nation's first academic medical center in 1928 when VP&S and Presbyterian Hospital (now NewYork-Presbyterian Hospital) moved to a 20-acre campus in New York City's Washington Heights neighborhood. The medical school and hospital were soon joined by the New York State Psychiatric Institute, renowned for pioneering treatments for some of humanity's most intractable mental problems.

VP&S is broadly international while also being intensely local. We care for patients from around the world and sponsor multicenter, international clinical trials that change the face of medical care for millions who never step on our campus. At the same time, we are respected within our neighborhood, throughout our city and state, and across the nation for our historic contributions to medical progress and for our continued commitment to improve the health of individuals and populations.",https://www.vagelos.columbia.edu/,Full,On or prior to 1942*,26,"vp, stony, brook, cornell, presbyterian"
Cooper Medical School of Rowan University,Camden,New Jersey,39.9404785,-75.1222681,Yes,https://cmsru.rowan.edu/education/medical-education-programs/md-phd-program.html,Internal Medicine,General Surgery,Family Medicine,https://www.cooperhealth.org/sites/default/files/buildings/2017-11/med-school.jpg,"Mission
Cooper Medical School of Rowan University (CMSRU) is committed to providing humanistic education in the art and science of medicine within a scientific and scholarly community in which excellence in patient care, innovative teaching, scholarly activity and service to our community are valued.

Core Values
At Cooper Medical School of Rowan University (CMSRU), our core values include a commitment to: a positive learning environment, mentorship, professionalism, patient advocacy, wellness, the communities we serve, and scholarly activity.
Vision
Cooper Medical School of Rowan University (CMSRU) will distinguish itself as an innovator in medical education and biomedical research that will lead to the transformation of healthcare.

Our Motto
""Camden is our classroom. Camden is our home.""

Service learning – the combination of teaching and learning with substantive community service – is a hallmark of the Cooper Medical School of Rowan University (CMSRU) curriculum and the heart of our pledge to give back to the community. 

CMSRU is located in Camden, New Jersey, a city where basic needs such as housing, food, healthcare and education go unmet for many residents. CMSRU is helping close this gap by educating new physicians who will practice regionally, as well as through the creation of new programs where students and faculty can provide care, resources and services to the community. Already noted as a “hot spot” for progressive approaches to addressing community health, Camden provides an ideal setting for exposing students to a wide range of cultures, backgrounds, and socioeconomic conditions, along with their associated social, emotional, and medical needs.",https://cmsru.rowan.edu/,Full,2011,37,"school, medical, university, duke, health"
Creighton University School of Medicine,Omaha,Nebraska,41.2531986,-96.0109173,Yes,https://www.creighton.edu/medicine/programs/masters-degree-programs,Internal Medicine,Pediatrics,Family Medicine,https://www.creighton.edu/sites/default/files/styles/two_column_image/public/2023-02/phoenixheathsciencecampus.jpg.webp?itok=1npV4Hor,"Forming Doctors Who Care for the Whole Person
Creighton University School of Medicine has been dedicated to forming medical students in the Catholic, Jesuit tradition- mind, body and soul- for over 130 years. Cura personalis, “care for the whole person,” is at the heart of not only how we form future physicians, but also how Creighton physicians serve patients.

Between our two campuses, 850+ medical students are on their way to become world changers in medicine and beyond.",https://www.creighton.edu/medicine,Full,On or prior to 1942*,27,"person, creighton, forming, dedicated, personalis"
